locality,bhk,area_sqft,price_lakhs
Ambernath,2,970,47
Ambernath,2,996,42
Ambernath,1,632,25
Ambernath,1,590,22
Ambernath,1,577,27
Ambernath,1,520,27
Ambernath,1,590,24
Ambernath,2,795,36
Ambernath,1,681,25
Ambernath,1,550,25
Ambernath,1,410,22
Ambernath,2,778,35
Ambernath,1,620,24
Ambernath,2,560,31
Ambernath,1,456,23
Ambernath,1,638,25
Ambernath,2,750,39
Ambernath,1,569,26
Ambernath,1,610,26
Ambernath,1,653,25
Ambernath,2,1022,38
Ambernath,1,557,31
Ambernath,3,1380,75
Ambernath,2,910,49
Ambernath,2,752,35
Ambernath,1,451,23
Ambernath,2,775,35
Ambernath,1,645,25
Ambernath,2,925,41
Ambernath,2,855,39
Ambernath,1,610,25
Ambernath,2,694,40
Ambernath,2,1025,36
Ambernath,1,614,24
Ambernath,2,1030,38
Ambernath,1,679,24
Ambernath,2,1025,45
Ambernath,1,640,24
Ambernath,2,850,45
Ambernath,2,750,39
Ambernath,1,569,25
Ambernath,1,600,23
Ambernath,2,985,36
Ambernath,2,1030,47
Ambernath,1,680,26
Ambernath,1,599,24
Ambernath,1,610,33
Ambernath,1,622,23
Ambernath,1,646,25
Ambernath,2,664,26
Ambernath,2,845,32
Ambernath,1,680,25
Ambernath,1,680,27
Ambernath,2,838,39
Ambernath,1,598,27
Ambernath,1,465,24
Ambernath,2,870,34
Ambernath,2,710,35
Ambernath,1,672,25
Ambernath,2,888,41
Ambernath,2,846,33
Ambernath,1,640,23
Ambernath,2,840,36
Ambernath,1,560,26
Ambernath,2,872,32
Ambernath,1,620,24
Ambernath,1,610,25
Ambernath,2,1230,45
Ambernath,3,1361,77
Ambernath,1,660,26
Ambernath,2,750,36
Ambernath,1,686,26
Ambernath,1,660,32
Ambernath,1,700,38
Ambernath,3,1380,77
Ambernath,2,910,51
Ambernath,2,790,42
Ambernath,1,569,28
Ambernath,2,800,33
Ambernath,1,550,27
Ambernath,2,694,41
Ambernath,2,810,42
Ambernath,1,610,25
Ambernath,1,620,23
Ambernath,3,1361,77
Ambernath,2,872,42
Ambernath,2,691,35
Ambernath,1,550,25
Ambernath,2,845,35
Ambernath,2,752,36
Ambernath,1,451,26
Ambernath,1,685,23
Ambernath,1,600,28
Ambernath,1,639,27
Ambernath,1,646,26
Ambernath,2,834,44
Ambernath,1,520,21
Ambernath,1,672,24
Ambernath,2,925,42
